Direcciones;Latitud;Longitud;Nro Radicado
Carrera 50 Calle 94 Sur LA ESTRELLA;6145127;-756335377;6508
Carrera 50 Calle 80 Sur LA ESTRELLA;61523941;-756336115;6509
Carrera 48 Calle 98 Sur LA ESTRELLA;61264835;-756288846;6510
Carrera 50 Calle 80 Sur LA ESTRELLA;61523941;-756336115;6511
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;6512
Carrera 55B Calle 79BB Sur LA ESTRELLA;6152341;-756370738;6513
Carrera 57 Calle 80 Sur LA ESTRELLA;61568232;-756401421;6514
Calle 79B Sur Carrera 50 LA ESTRELLA;61549716;-756301421;6515
Carrera 56 Calle 82 Sur LA ESTRELLA;61547249;-756384867;6516
Carrera 59 Calle 77 Sur LA ESTRELLA;61596727;-756413438;6517
Carrera 50 Calle 93B Sur LA ESTRELLA;61194902;-756344897;6518
Carrera 48 Calle 98 Sur LA ESTRELLA;61264835;-756288846;6519
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;6520
Carrera 48 Calle 98 Sur LA ESTRELLA;61264835;-756288846;6521
Calle 77 Sur Carrera 59 LA ESTRELLA;61596727;-756413438;6522
Carrera 48 Calle 98 Sur LA ESTRELLA;61264835;-756288846;6523
Calle 76 Sur Carrera 56 LA ESTRELLA;6161264;-756378818;6524
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;6525
Calle 88 Sur Carrera 52 LA ESTRELLA;61480317;-75637358;6526
Calle 87 Sur Carrera 63A LA ESTRELLA;61526853;-756520852;6532
Carrera 50 Calle 77 Sur LA ESTRELLA;6154535;-75626803;6533
Calle 87 Sur Carrera 63 LA ESTRELLA;61526853;-756520852;6534
Carrera 50 Calle 83C Sur LA ESTRELLA;61504236;-756360396;6535
Carrera 50 Calle 100 Sur LA ESTRELLA;61194097;-756344227;6536
Calle 75 Sur Carrera 52 LA ESTRELLA;61652279;-756340383;6537
Carrera 48 Calle 100 Sur LA ESTRELLA;61168976;-756303266;6538
Carrera 55AA Calle 84 Sur LA ESTRELLA;61512891;-756378821;6539
Carrera 50 Calle 97 Sur LA ESTRELLA;61331391;-756337246;6540
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;6541
Carrera 52A Calle 77 Sur LA ESTRELLA;6158955;-756292297;6542
Carrera 48 Calle 97 Sur LA ESTRELLA;61168976;-756303266;6543
Carrera 63 Calle 74 Sur LA ESTRELLA;61641853;-75649648;6544
Calle 74 Sur Carrera 57 LA ESTRELLA;61644697;-756429633;6545
Carrera 62 Calle 76 Sur LA ESTRELLA;6161012;-75646198;6546
Carrera 63 Calle 73 Sur LA ESTRELLA;61656415;-756441065;6547
Carrera 55 Calle 80 Sur LA ESTRELLA;61543856;-756363237;6548
Carrera 48 Calle 98A Sur LA ESTRELLA;61234898;-756299991;6549
Calle 76 Sur Carrera 62 LA ESTRELLA;6161012;-75646198;6550
Carrera 48 Calle 105 Sur LA ESTRELLA;61234898;-756299991;6551
Carrera 50 Calle 93 Sur LA ESTRELLA;61511449;-75636623;6552
Carrera 50 Calle 93 Sur LA ESTRELLA;61511449;-75636623;6553
Carrera 50 Calle 100 Sur LA ESTRELLA;61194097;-756344227;6554
Calle 80 Sur Carrera 59 LA ESTRELLA;61576307;-756419947;6555
Calle 74 Sur Carrera 54 LA ESTRELLA;61645847;-756433602;6556
Carrera 57 Calle 74 Sur LA ESTRELLA;61644697;-756429633;6557
Carrera 57 Calle 74 Sur LA ESTRELLA;61644697;-756429633;6558
Calle 84 Sur Carrera 55 LA ESTRELLA;6150752;-756369044;6559
Carrera 54 Calle 80 Sur LA ESTRELLA;6153988;-756350659;6560
Calle 77 Sur Carrera 53 LA ESTRELLA;615992;-756322728;6561
Carrera 50 Calle 97B Sur LA ESTRELLA;61317917;-756334631;6562
Carrera 54 Calle 75AB Sur LA ESTRELLA;61557596;-756341108;6563
Carrera 50 Calle 83C Sur LA ESTRELLA;61504236;-756360396;6564
Carrera 50 Calle 89 Sur LA ESTRELLA;6145127;-756335377;6565
Carrera 50 Calle 100 Sur LA ESTRELLA;61194097;-756344227;6566
Carrera 50 Calle 102 Sur LA ESTRELLA;61441505;-756334228;6567
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;6568
